playerName,Season,School,Conf,position,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,spacer1,SOS,yearsInCollege,heightInCm,weightInKg,transferredSchools
DaQuan Jeffries,2018-19,Tulsa,AAC,Guard,31,31,28.1,4.5,8.9,0.502,3,4.9,0.612,1.5,4,0.366,2.7,3.5,0.755,1.3,4.3,5.6,1.8,1,1.2,1.6,3,13,,3.86,3,196,104,1
Daniel Gafford,2018-19,Arkansas,SEC,Forward,32,32,28.7,6.7,10.1,0.66,6.7,10.1,0.66,0,0,,3.6,6,0.591,2.8,5.8,8.7,0.7,0.9,2,2.4,2.8,16.9,,8.78,2,211,105,0
Darius Garland,2018-19,Vanderbilt,SEC,Guard,5,5,27.8,5.8,10.8,0.537,3.6,6.2,0.581,2.2,4.6,0.478,2.4,3.2,0.75,0.4,3.4,3.8,2.6,0.8,0.4,3,1.4,16.2,,7.79,1,188,79,0
Ethan Happ,2018-19,Wisconsin,Big Ten,Forward,34,34,32,7.6,14.3,0.53,7.6,14.1,0.535,0,0.1,0,2.2,4.7,0.466,2.3,7.8,10.1,4.5,1.1,1.3,3.1,2.6,17.3,,11.01,4,208,107,0
Kouat Noi,2018-19,TCU,Big 12,Forward,31,19,30.2,4.9,11.5,0.43,2.5,4.8,0.534,2.4,6.7,0.356,1.7,2.1,0.788,1.8,3.2,4.9,1.2,1.2,0.3,1.5,2,13.9,,9.6,2,201,92,0
Jordan Nwora,2018-19,Louisville,ACC,Forward,34,29,31.9,5.8,13.1,0.446,3.6,7,0.508,2.3,6.1,0.374,3.1,4,0.765,1.2,6.5,7.6,1.3,0.9,0.4,2.4,2.1,17,,11.04,2,201,102,0
Terance Mann,2018-19,Florida State,ACC,Guard,37,36,31.7,4,7.9,0.505,3.2,5.8,0.547,0.8,2.1,0.39,2.6,3.4,0.79,2.5,4,6.5,2.5,0.7,0.3,1.8,2.2,11.4,,10.26,4,201,97,0
Dylan Windler,2018-19,Belmont,OVC,Forward,33,33,33.2,7.4,13.6,0.54,4.3,6.6,0.659,3,7.1,0.429,3.5,4.2,0.847,1.9,8.9,10.8,2.5,1.4,0.6,2.1,2.1,21.3,,-2.6,4,203,90,0
Tremont Waters,2018-19,LSU,SEC,Guard,33,29,32.4,5.2,12.1,0.43,3.5,6.9,0.507,1.7,5.2,0.327,3.2,3.9,0.813,0.3,2.5,2.8,5.8,2.9,0.1,3.5,1.9,15.3,,9.15,2,180,79,0
Jared Harper,2018-19,Auburn,SEC,Guard,40,40,33,4.6,11.5,0.399,2.1,4.9,0.438,2.5,6.6,0.37,3.7,4.5,0.828,0.3,2.2,2.5,5.8,1.1,0.1,2.4,1.8,15.3,,10.92,3,180,79,0
Cameron Johnson,2018-19,UNC,ACC,Guard,36,36,29.9,5.9,11.6,0.506,3.2,5.8,0.556,2.7,5.8,0.457,2.5,3.1,0.818,1.8,3.9,5.8,2.4,1.2,0.3,1.5,1.5,16.9,,11.35,5,206,95,1
Justin James,2018-19,Wyoming,MWC,Guard,32,32,38.2,7.1,17.4,0.409,5.6,12.1,0.459,1.6,5.3,0.296,6.3,8.4,0.741,1,7.5,8.5,4.4,1.5,0.6,4.2,2.1,22.1,,0.19,4,201,86,0
Justin Robinson,2018-19,Virginia Tech,ACC,Guard,24,20,29.5,4,8.5,0.473,2.3,4.4,0.524,1.7,4.1,0.418,3.8,4.6,0.811,0.6,2.6,3.2,5,1.6,0.1,2.8,1.5,13.5,,7.79,4,188,88,0
Simisola Shittu,2018-19,Vanderbilt,SEC,Forward,32,31,26.7,4.1,8.8,0.468,4.1,8.2,0.496,0,0.6,0.056,2.7,4.7,0.576,1.6,5.1,6.7,1.8,0.7,0.5,2.9,2.3,10.9,,7.79,1,208,108,0
Kezie Okpala,2018-19,Stanford,Pac-12,Forward,29,29,32.7,5.9,12.7,0.463,4.8,9.7,0.493,1.1,3,0.368,4,6,0.671,1.2,4.5,5.7,2,1,0.5,2.9,2.5,16.8,,5.13,2,206,97,0
Nicolas Claxton,2018-19,Georgia,SEC,Forward,32,32,31.6,4.3,9.3,0.46,3.7,7.3,0.509,0.6,2,0.281,3.8,6,0.641,2.3,6.3,8.6,1.8,1.1,2.5,2.1,2.8,13,,8.12,2,211,99,0
Chris Clemons,2018-19,Campbell,Big South,Guard,33,33,36.6,9.2,20.6,0.448,5,8.8,0.569,4.2,11.8,0.357,7.5,8.6,0.869,0.8,4.3,5.1,2.8,1.5,0.3,2.5,1.9,30.1,,-4.39,4,175,81,0
Aubrey Dawkins,2018-19,UCF,AAC,Guard,33,33,33.4,5.5,11.8,0.463,3.3,6.4,0.514,2.2,5.5,0.403,2.5,2.9,0.835,1,4,5,1.4,1,0.3,1.6,2.2,15.6,,5.58,3,198,92,1
